EventID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date,Keywords,Topics
E234,Street Dance Workshop,RR Campus,Team Encore,Join us for an energetic Street Dance Workshop where participants will learn various street dance styles including hip-hop and afro. Get ready to groove and express yourself through dance!,Participation Certificates,2023-11-16 0:00:00,"['street', 'join', 'ready',  'hip', 'workshop', 'hop',  'express', 'various', 'western', 'styles', 'dance', 'energetic', 'afro', 'including', 'groove']","[(96, 0.9377700227251671)]"
E265,Green Campus Cleanup Drive,RR Campus,The Changemakers' Society,Join us in making a positive impact on the environment. Participate in our Green Campus Cleanup Drive to contribute towards a cleaner and greener campus.,Participation Certificates,2023-11-17 0:00:00,"[ 'impact', 'cleanup', 'sustainable', 'join', 'Green Campus Cleanup Drive', 'participate', 'campus', 'drive', 'cleaner', 'making', 'contribute', 'greener', 'social', 'environment', 'environmental', 'green']","[(121, 0.9501511954000048)]"
E306,Electric Vehicle Expo,RR Campus,Vega Racing Electric - EV Connect,"Explore the future of transportation! Join our Electric Vehicle Expo, featuring displays of the latest electric vehicles, advancements in EV technology, and opportunities to learn about sustainable transportation.",Networking Opportunities,2023-11-18 0:00:00,"['sustainable', 'displays', 'racing', 'electric', 'opportunities', 'vehicles', 'EV', 'transportation', 'latest', 'future', 'join', 'expo', 'featuring',  'Electric Vehicles', 'ev', 'advancements', 'explore', 'vehicle', 'technology']","[(100, 0.952626751678871)]"
E12,Youth Leadership Summit,RR Campus,Aikya,"A summit aiming to empower young individuals with leadership skills. Participants will engage in workshops, discussions, and activities to enhance their leadership potential and social responsibility.",Leadership Summit Certificates,2023-11-19 0:00:00,"[ 'enhance',  'young', 'discussions', 'workshops', 'potential', 'aiming', 'social', 'skills', 'individuals', 'responsible', 'responsibility', 'summit', 'activities', 'empower', 'leadership']","[(0, 0.2574777415693013), (1, 0.689832512566976)]"
E20,Green Initiative Workshop,RR Campus,CSR CLUB PESU,"A workshop focusing on sustainable practices and environmental conservation. Members will learn about eco-friendly habits, waste reduction, and how to contribute to a greener future.",Seedling Kits,2023-11-20 0:00:00,"['sustainable', 'sustainability', 'habits', 'friendly', 'contribute', 'greener', 'reduction', 'awareness', 'future', 'focusing', 'workshop',   'eco', 'waste', 'conservation', 'social', 'practices', 'environmental']","[(1, 0.9489745474860823)]"
E37,Design Thinking Workshop,RR Campus,DSGNR,"A hands-on workshop focusing on design thinking principles. Participants will learn problem-solving through creative ideation, prototyping, and collaboration in a dynamic learning environment.",Design Toolkits,2023-12-22 0:00:00,"['thinking', 'art', 'collaboration', 'environment', 'problem',  'design', 'workshops', 'dynamic', 'solving', 'focusing', 'talent', 'artistic', 'workshop',  'prototyping', 'creative', 'hands', 'learning', 'principles', 'ideation']","[(0, 0.9537708798530379)]"
E184,Workshop: Filmmaking Techniques,RR Campus,PESU ACTIONCUT,"A workshop focusing on essential filmmaking techniques. Participants will learn about cinematography, storytelling, editing, and other aspects crucial for creating compelling short films.",Filmmaking Techniques Workshop Certificates,2023-12-22 0:00:00,"['films', 'cinematography', 'short', 'focusing', 'editing',  'shorts', 'talents', 'workshop', 'crucial', 'storytelling', 'techniques',  'compelling', 'creating', 'essential', 'filmmaking', 'aspects']","[(0, 0.6038133243926543), (5, 0.3430516596727943)]"
E212,Weekly Quizzing Bonanza: EWD Edition,RR Campus,Quotient Quiz Club,A weekly quizzing event held every Extended Working Day (EWD). Participants can join the fun and challenging quizzes to test their knowledge on diverse topics. Prizes awarded to top performers.,Weekly Quizzing Bonanza Certificates,2023-12-22 0:00:00,"['ieee', 'quizzing', 'quizzes', 'conquiztador', 'test', 'weekly',  'challenging', 'performers', 'topics', 'extended', 'join', 'working', 'quiz', 'knowledge', 'diverse', 'ewd', 'awarded',  'fun',  'day', 'held']","[(1, 0.2428327746098252), (97, 0.7136153146357992)]"
E13,Social Awareness Campaign,RR Campus,Aikya,"A campaign to raise awareness about social issues. Participants will organize and execute initiatives to inform the community about relevant topics, fostering a sense of social responsibility among the audience.",Awareness Campaign Recognition,2024-01-02 0:00:00,"['fostering', 'audience', 'topics', 'initiatives', 'issues', 'organize',  'execute', 'campaign', 'raise', 'social', 'inform', 'relevant', 'sense', 'responsible', 'community', 'responsibility', 'awareness']","[(1, 0.9489746194674417)]"
E21,Blood Donation Camp,RR Campus,CSR CLUB PESU,A blood donation camp aimed at raising awareness about the importance of voluntary blood donation. Members and participants can contribute to saving lives through this humanitarian effort.,Donor Certificates,2024-01-02 0:00:00,"['donate',   'contributing', 'camp', 'blood', 'collaboration', 'need', 'local', 'social', 'organizations', 'donation', 'sense', 'healthcare', 'responsible', 'responsibility', 'promoting']","[(1, 0.9425963422697391)]"
E31,Youth Empowerment Conference,RR Campus,DHRUVA Forum,"A conference empowering youth with knowledge and skills. Participants will attend talks and interactive sessions on various aspects of personal and professional development, preparing them for life's challenges.",Empowerment Conference Certificates,2024-01-02 0:00:00,"['sessions',  'leaders', 'challenges', 'talks', 'skills', 'empowering', 'aspects', 'development',  'personality',  'educating', 'professional', 'life', 'knowledge', 'personal', 'various', 'youth', 'preparing', 'conference', 'attend']","[(1, 0.21510805570301586), (11, 0.7402602389676152)]"
E48,Rocket Launch Challenge,RR Campus,Equinox-The Space Club,"A challenge where participants design and launch model rockets. The event promotes hands-on learning, creativity in rocket design, and an understanding of the principles of rocketry.",Rocket Launch Challenge Awards,2024-01-02 0:00:00,"['challenge', 'model', 'understanding',  'rocketry',  'design', 'science', 'rockets', 'promotes', 'launch', 'hands', 'learning', 'creativity', 'rocket', 'principles', 'Space Science and Technology', 'space', 'technology']","[(0, 0.5058283211416319), (2, 0.4513416884170668)]"
E56,Game Design Competition,RR Campus,Game development club,"A competition where participants present their game design concepts. The event encourages creativity in game design, storytelling, and the development of innovative and engaging game concepts.",Game Design Competition Prizes,2024-01-02 0:00:00,"['development', 'game',  'present',  'games', 'design', 'concepts', 'storytelling', 'create', 'engaging', 'competition',  'developers', 'creativity', 'innovative']","[(0, 0.4457840761691776), (1, 0.49399907141514005)]"
E63,Tech Talk: Introduction to Google Cloud,RR Campus,Google Developer Student Clubs (GDSC),"An informative tech talk introducing participants to Google Cloud technologies. The session will cover key concepts, services, and practical applications in cloud computing.",Google Cloud Credits,2024-01-02 0:00:00,"['talk', 'Google', 'Google Developer Student Clubs', 'informative', 'key', 'introducing',  'practical', 'developer', 'google', 'Google Cloud', 'computing', 'concepts', 'technology', 'cover', 'cloud', 'services', 'session', 'technology', 'applications']","[(1, 0.7293060364102487), (3, 0.23332011391382576)]"
E73,Open Source Contribution Day,RR Campus,HackerSpace,"A day dedicated to contributing to open source projects. Participants will collaborate on coding projects, fix bugs, and enhance open source software, fostering a culture of contribution.",Open Source Certificates,2024-01-02 0:00:00,"['projects', 'open', 'development', 'fix',  'technical', 'dedicated', 'enhance', 'contribution', 'software', 'technology', 'source', 'culture', 'fostering', 'bugs', 'coding', 'contributing', 'coding', 'developers', 'day', 'collaborate']","[(0, 0.5343852958588494), (1, 0.42547013586402804)]"
E83,Workshop on Emerging Technologies,RR Campus,IEEE PESU Student Branch,"A workshop focusing on emerging technologies in various IEEE fields. Participants will gain hands-on experience, practical insights, and knowledge about the latest advancements in technology.",Emerging Technologies Workshop Certificates,2024-01-02 0:00:00,"['ieee', 'fields',  'practical', 'latest', 'technical', 'gain', 'focusing', 'IEEE', 'workshop', 'knowledge', 'hands', 'various', 'insights', 'emerging', 'advancements', 'experience', 'technology', 'technology']","[(0, 0.652106838525216), (1, 0.30352284916849026)]"
E93,Robotics Competition: Bot Challenge,RR Campus,IEEE RAS,"A robotics competition challenging participants to design and build robots for specific challenges. The event encourages innovation, problem-solving, and collaboration among participants.",Bot Challenge Robotics Competition Awards,2024-01-02 0:00:00,"['advancements', 'smart', 'Robotics and Automation',  'field', 'explore', 'ai', 'seminar', 'driven', 'talks', 'technology', 'applications', 'robotics', 'discussing', 'systems', 'automation', 'emerging']","[(0, 0.9513377151314663)]"
E100,Language Carnival: Multilingual Fair,RR Campus,Linguista!,"A carnival celebrating linguistic diversity. Participants will explore different language booths, cultural displays, and engage in activities that highlight the richness of various languages around the world.",Multilingual Fair Carnival Prizes,2024-01-02 0:00:00,"['booths', 'diversity',  'displays',  'highlight', 'language', 'celebrating',  'explore', 'carnival', 'linguistic', 'languages', 'various', 'world', 'cultural', 'activities', 'richness']","[(9, 0.9388162859993845)]"
E107,InnovateHER Tech Challenge,RR Campus,MahilAI,"A tech challenge encouraging participants to develop innovative solutions addressing challenges faced by women. The event fosters creativity, problem-solving, and a commitment to leveraging technology for positive change.",InnovateHER Tech Challenge Awards,2024-01-02 0:00:00,"['challenge', 'leveraging', 'addressing', 'pandemic', 'challenges', 'fosters', 'technology', 'innovative', 'problem',   'use', 'faced', 'commitment', 'AI', 'solving', 'leverage', 'way', 'pave', 'ai', 'time', 'change', 'end', 'encouraging', 'technology', 'creativity', 'women', 'immemorial', 'solutions', 'battling', 'develop', 'injustice', 'technology', 'event']","[(0, 0.9719823888707146)]"
E114,Photography Contest: Style Lens,RR Campus,Meraki,"A photography contest capturing style and fashion. Participants will showcase their photography skills, focusing on fashion elements, and compete for recognition in the Style Lens contest.",Style Lens Photography Contest Prizes,2024-01-02 0:00:00,"['style', 'compete', 'focusing', 'capturing',  'fashion', 'elements', 'contest', 'photography', 'showcase', 'skills', 'Style Lens', 'recognition', 'lens']","[(1, 0.2958900297026769), (14, 0.6441105390366003)]"
E121,Battle of the Bands: Rhythmic Rivalry,RR Campus,Music Club of PES,"A battle of the bands competition showcasing the rhythmic talent of participating bands. The event promotes friendly competition, musical diversity, and audience engagement.",Rhythmic Rivalry Battle of the Bands Awards,2024-01-02 0:00:00,"['diversity', 'audience', 'showcasing', 'musicians', 'bands', 'talent', 'battle', 'musical', 'music', 'participating', 'promotes', 'friendly', 'competition',  'engagement', 'rhythmic']","[(14, 0.2943395877105339), (37, 0.6449807442744506)]"
E128,Sitar Workshop: Strings of Harmony,RR Campus,Ninaada,"A workshop exploring the art of playing the sitar. Participants will learn about the intricacies of sitar playing, the history of the instrument, and experience hands-on guidance.",Strings of Harmony Sitar Workshop Certificates,2024-01-02 0:00:00,"['indian', 'experience',  'exploring', 'art', 'music', 'workshop',  'guidance', 'sitar', 'history', 'hands', 'dance', 'playing', 'intricacies', 'instrument', 'forum']","[(11, 0.9391138117774745)]"
E138,Public Speaking Masterclass,RR Campus,PES DebSoc,A masterclass on public speaking techniques and effective communication. Participants will gain insights into crafting compelling speeches and presenting with confidence.,Public Speaking Certificates,2024-01-02 0:00:00,"['public', 'effective', 'debating', 'communication',  'presenting', 'masterclass', 'speeches', 'techniques', 'confidence', 'compelling', 'teach', 'gain', 'parliamentary', 'insights', 'speaking', 'crafting']","[(1, 0.9459731264660168)]"
E148,Mentorship Mixer Event,RR Campus,PES Entrepreneurship Cell,"A networking event connecting students with experienced entrepreneurs and mentors. Participants will have the opportunity to seek guidance, advice, and build valuable connections.",Mentorship Opportunities,2024-01-02 0:00:00,"['entrepreneurship', 'networking',   'build', 'guidance', 'students', 'seek', 'connecting', 'mentors', 'advice',  'valuable', 'experienced', 'entrepreneurs', 'connections']","[(1, 0.5307223758344676), (16, 0.4046394171148979)]"
E158,Ideation Workshop,RR Campus,PES Innovation Lab,"A workshop focusing on ideation techniques and brainstorming. Participants will learn how to generate and refine innovative ideas, laying the foundation for future research projects.",Ideation Toolkits,2024-01-02 0:00:00,"['future', 'focusing',  'projects', 'workshop', 'laying', 'techniques',  'ideas', 'research', 'innovative', 'ideation', 'foundation', 'generate', 'brainstorming', 'refine', 'problems']","[(0, 0.44062044899590475), (1, 0.5066898051403731)]"
E168,Debate and Diplomacy Challenge,RR Campus,PES MUN Society,"An interactive event combining debate and diplomatic simulations. Participants will face challenges that test their diplomatic skills, critical thinking, and the ability to negotiate effectively.",Diplomacy Excellence Awards,2024-01-02 0:00:00,"['thinking', 'law', 'face', 'effectively', 'challenges', 'test', 'research', 'skills', 'world', 'simulations', 'negotiate',   'critical', 'academic', 'policy', 'ability', 'speaking', 'combining', 'debate', 'diplomatic', 'india', 'diplomacy', 'event']","[(2, 0.28795546125260535), (4, 0.6705331161110917)]"
E178,Open Source Project Showcase,RR Campus,PES Open Source,"A showcase event where members present their ongoing or completed open source projects. Participants will have the opportunity to demonstrate their work, share insights, and receive feedback.",Project Showcase Recognition,2024-01-02 0:00:00,"['Open Source Projects', 'share', 'projects', 'open', 'feedback',  'technical', 'ongoing', 'completed', 'present',  'work', 'knowledge', 'receive', 'insights', 'demonstrate', 'source',  'showcase', 'event']","[(1, 0.9540771402220118)]"
E193,Photography Workshop Series,RR Campus,Pixelloid,"A series of photography workshops covering different aspects of the craft. Participants will learn about composition, lighting, editing techniques, and other essential skills to enhance their photography.",Photography Workshop Certificates,2024-01-02 0:00:00,"['editing', 'composition', 'photography', 'essential', 'skills', 'aspects',   'workshops', 'covering', 'enhance', 'photo', 'promos', 'techniques', 'series',  'movies', 'craft', 'lighting']","[(1, 0.5822524258803137), (66, 0.364111338718251)]"
E203,Quantum Algorithms Symposium,RR Campus,QForest,"A symposium exploring advanced quantum algorithms. Experts in the field will discuss cutting-edge algorithms, their applications, and the potential impact on various industries.",Quantum Algorithms Insights Certificates,2024-01-02 0:00:00,"['impact', 'experts', 'edge', 'symposium', 'field', 'exploring', 'techcomputing', 'projects', 'quantum', 'advanced', 'potential', 'applications', 'cutting', 'various', 'discuss', 'algorithms', 'industries', 'Quantum Computing']","[(0, 0.29817208107049614), (1, 0.49028138782999775), (7, 0.17102093275695127)]"
E257,Code Sprint: Speed Coding Challenge,RR Campus,The Alcoding CLub,"A speed coding challenge where participants race against the clock to solve coding problems. The event emphasizes quick thinking, efficient coding, and problem-solving under time constraints.",Code Sprint Winner Certificates,2024-01-02 0:00:00,"['thinking', 'challenge', 'efficient', 'race', 'constraints', 'solve', 'problem', 'speed',  'clock', 'technical', 'solving', 'time', 'learning', 'emphasizes', 'quick', 'coding',  'algorithms', 'problems']","[(0, 0.9513378231096074)]"
E274,Literary Quiz Night,RR Campus,The Grimm Readers,"A quiz night focusing on literature and book-related trivia. Participants will compete in teams, answering questions about famous authors, classic literature, and literary genres.",Literary Quiz Night Trophies,2024-01-02 0:00:00,"['reader', 'compete', 'trivia', 'literature',  'discussions', 'genres', 'teams', 'authors', 'book', 'classic', 'focusing', 'reading', 'night', 'readers', 'quiz', 'literary', 'community', 'related', 'famous', 'answering', 'questions']","[(0, 0.1995799545218741), (1, 0.7621002303045091)]"
E284,Mime and Comedy Night,RR Campus,The Nautanki Team,"An evening dedicated to mime, stand-up comedy, and comedic sketches. Participants will deliver entertaining and humorous performances, showcasing the team's diverse talents in comedic arts.",Comedy Night Laughter Awards,2024-01-02 0:00:00,"['stage', 'arts', 'comedic', 'showcasing',  'humorous', 'talents', 'dedicated', 'evening', 'acts', 'theatre', 'performing', 'team', 'dramatics', 'comedy', 'deliver', 'diverse', 'stand', 'plays', 'mime', 'entertaining', 'performances', 'sketches']","[(9, 0.9574375810635913)]"
E38,Creative Networking Mixer,RR Campus,DSGNR,"A networking event bringing together creative individuals to connect, collaborate, and share ideas. Members can engage in interactive activities to foster a supportive creative community.",Networking Opportunities,2024-01-05 0:00:00,"['share', 'art', 'ideas',   'networking', 'foster', 'design', 'workshops', 'supportive',  'talent', 'artistic', 'bringing', 'connect', 'creative', 'community', 'activities',  'individuals', 'collaborate']","[(1, 0.948974585727174)]"
E185,Panel Discussion: Navigating the Film Industry,RR Campus,PESU ACTIONCUT,"A panel discussion on navigating the film industry. Industry experts will share insights, experiences, and advice for individuals interested in pursuing a career in filmmaking.",Film Industry Navigation Panel Discussion Participation Tokens,2024-01-05 0:00:00,"['films', 'experts', 'share', 'navigating', 'shorts', 'industry', 'film', 'discussion', 'talents', 'interested', 'advice', 'pursuing', 'panel', 'experiences', 'individuals', 'career', 'filmmaking', 'insights']","[(26, 0.9479309442810184)]"
E213,Aatmatrisha Mega Quiz,RR Campus,Quotient Quiz Club,"A mega quiz event held as part of Aatmatrisha, the annual cultural fest. The quiz covers a wide range of topics, providing participants with an engaging and intellectually stimulating experience.",Aatmatrisha Mega Quiz Prizes,2024-01-05 0:00:00,"['ieee', 'mega', 'quizzing', 'conquiztador', 'intellectually', 'engaging', 'covers',  'providing', 'cultural', 'topics', 'Aatmatrisha', 'quiz', 'range', 'aatmatrisha', 'fest', 'experience', 'wide', 'stimulating', 'annual',  'held']","[(0, 0.1931385432463202), (1, 0.4680112516269799), (58, 0.29907546195161583)]"
E242,Sanskriti Sangeet Night,RR Campus,Team Sanskrithi,Experience an enchanting night of Sanskriti Sangeet. Immerse yourself in soulful music and captivating dance performances that showcase the beauty of Indian contemporary dance.,Cultural Appreciation Certificates,2024-01-06 0:00:00,"['soulful', 'Indian', 'sangeet', 'sanskriti', 'experience', 'performances', 'music', 'immerse', 'enchanting', 'night', 'captivating', 'Sanskriti Sangeet', 'dance', 'showcase', 'beauty', 'an enchanting night', 'contemporary', 'indian']","[(147, 0.9545822264768724)]"
E3,Coding Challenge Marathon,RR Campus,ACM-W,"A coding marathon designed to enhance coding skills among women in technology. Participants will solve challenging problems, compete with peers, and strengthen their coding abilities.",Amazon Gift Cards,2024-01-08 0:00:00,"['compete', 'research', 'skills', 'strengthen', 'solve',  'discussions', 'peers', 'challenging', 'enhance', 'abilities', 'technology', 'seminars', 'designed', 'women', 'coding', 'marathon', 'technology', 'problems']","[(0, 0.634857686065684), (21, 0.31693517232231877)]"
E221,Education Outreach Program,RR Campus,Rotaract Club of PES University,An outreach program aimed at providing educational support to underprivileged children. Volunteers will engage in teaching sessions and activities to make learning enjoyable for the young minds.,Certificates of Volunteering,2024-01-08 0:00:00,"['minds', 'sessions', 'service', 'teaching', 'young', 'program', 'Social Service', 'providing', 'underprivileged',   'children', 'make', 'learning', 'enjoyable', 'activities', 'outreach', 'volunteers', 'social', 'support', 'educational']","[(0, 0.9559722634941329)]"
E235,Inter-College Dance Battle,RR Campus,Team Encore,Prepare for the ultimate Inter-College Dance Battle! Teams from various colleges will compete in a showcase of street dance styles. Show off your moves and compete for the title.,Winner's Trophy and Certificates,2024-01-14 0:00:00,"['compete', 'street', 'inter', 'ultimate', 'battle', 'Inter-College Dance Battle', 'moves', 'western', 'title', 'styles', 'college', 'dance', 'showcase', 'prepare', 'teams', 'colleges', 'various', 'afro']","[(34, 0.9531064434041218)]"
E14,Environmental Sustainability Workshop,RR Campus,Aikya,"A workshop focusing on environmental sustainability and responsible practices. Participants will learn about eco-friendly habits, sustainable living, and how to make positive contributions to the environment.",Sustainability Workshop Certificates,2024-01-15 0:00:00,"[ 'eco', 'sustainable', 'living', 'focusing',  'sustainability', 'workshop', 'habits',  'contributions', 'friendly', 'responsible', 'environment', 'make', 'social', 'practices', 'environmental']","[(1, 0.9425963670267141)]"
E22,Education Drive for Underprivileged,RR Campus,CSR CLUB PESU,An initiative to support the education of underprivileged children. Members will organize donation drives for educational materials and conduct tutoring sessions to empower young minds.,Educational Scholarships,2024-01-15 0:00:00,"['minds', 'sessions', 'young', 'sustainability', 'donation', 'organize', 'initiative', 'underprivileged', 'awareness', 'drives', 'materials', 'tutoring', 'children', 'empower',  'social', 'education', 'support', 'educational', 'conduct']","[(0, 0.47748395143866545), (1, 0.48036425187035603)]"
E32,Principles-Centered Leadership Forum,RR Campus,DHRUVA Forum,"A forum discussion on principles-centered leadership. Participants will explore the principles that guide effective leadership, discussing real-world applications and sharing insights on cheerful leadership.",Leadership Forum Participation Tokens,2024-01-15 0:00:00,"[ 'real', 'centered', 'leaders', 'discussion', 'world', 'discussing', 'cheerful', 'leadership', 'development', 'personality', 'effective',  'educating', 'forum', 'insights', 'sharing', 'principles', 'explore', 'applications', 'guide']","[(1, 0.6004739764033419), (3, 0.35467742197438606)]"
E49,Satellite Technology Workshop,RR Campus,Equinox-The Space Club,"A workshop focusing on satellite technology. Participants will gain insights into satellite design, communication, and applications, fostering knowledge about the role of satellites in space exploration.",Satellite Technology Workshop Certificates,2024-01-15 0:00:00,"['fostering', 'focusing', 'role', 'satellite',  'exploration', 'communication', 'Space Science and Technology', 'design', 'workshop', 'knowledge', 'space', 'applications', 'science', 'technology', 'gain', 'insights', 'satellites']","[(0, 0.19573358685815156), (1, 0.7641218448647257)]"
E57,Virtual Reality Gaming Night,RR Campus,Game development club,"An event showcasing virtual reality (VR) gaming experiences. Participants will have the opportunity to experience and explore VR games, gaining insights into the future of gaming technology.",VR Gaming Night Experience Certificates,2024-01-15 0:00:00,"[ 'showcasing',  'vr', 'design', 'reality', 'create', 'experiences', 'future',  'gaining', 'virtual', 'insights', 'experience', 'games', 'explore', 'gaming', 'technology', 'developers']","[(0, 0.9456128119800351)]"
E64,Hackathon: Build for a Better Future,RR Campus,Google Developer Student Clubs (GDSC),A hackathon challenging participants to develop innovative solutions addressing real-world problems. Teams will compete to create impactful projects using Google technologies.,Hackathon Prizes,2024-01-15 0:00:00,"['compete', 'Google', 'real', 'addressing', 'Google Developer Student Clubs', 'projects', 'impactful', 'using', 'world', 'innovative',  'developer', 'create', 'hackathon', 'teams', 'challenging', 'google', 'solutions', 'develop', 'technology', 'problems']","[(1, 0.961730927017811)]"
E74,Hardware Hacking Workshop,RR Campus,HackerSpace,"A workshop exploring hardware hacking techniques. Participants will learn about hardware components, circuitry, and practical applications in creating innovative hardware projects.",Hardware Hacking Kits,2024-01-15 0:00:00,"['projects', 'components', 'hacking', 'innovative', 'development',  'exploring', 'practical', 'circuitry', 'technical', 'hardware', 'workshop', 'techniques',  'technology', 'creating', 'coding', 'applications', 'developers']","[(0, 0.9486343387665844)]"
E84,Coding Challenge: CodeXpertise,RR Campus,IEEE PESU Student Branch,"A coding challenge to showcase participants' coding expertise. The event emphasizes problem-solving skills, coding efficiency, and algorithmic knowledge, aligning with IEEE's technical focus.",CodeXpertise Coding Awards,2024-01-15 0:00:00,"['ieee', 'challenge', 'IEEE', 'aligning',  'emphasizes', 'efficiency', 'focus', 'coding', 'knowledge', 'showcase', 'technical', 'expertise',  'skills', 'algorithmic', 'solving', 'problem']","[(0, 0.47290530075329745), (1, 0.4775043501984914)]"
E94,Industry Insights Panel: Robotics Trends,RR Campus,IEEE RAS,"A panel discussion featuring experts from the robotics industry. Participants will gain insights into current trends, challenges, and future developments in the field of robotics and automation.",Panel Discussion Participation Certificates,2024-01-15 0:00:00,"['current', 'experts', 'future', 'robotics', 'Robotics and Automation',  'field', 'trends', 'industry', 'featuring', 'challenges', 'developments', 'panel', 'technology', 'discussion', 'gain', 'insights', 'automation']","[(1, 0.9540771268991033)]"
E101,Language Debate Challenge,RR Campus,Linguista!,"A debate challenge focusing on language-related topics. Participants will engage in debates, discussions, and critical thinking exercises centered around language, communication, and linguistics.",Debate Challenge Awards,2024-01-15 0:00:00,"['thinking', 'topics', 'language', 'exercises', 'focusing',   'debate', 'communication', 'centered', 'critical', 'discussions', 'linguistics', 'challenge', 'debates', 'related']","[(1, 0.9387694897591626)]"
E108,Women's Empowerment Forum,RR Campus,MahilAI,"A forum discussing women's empowerment and leadership. Participants will hear inspiring stories, engage in conversations about breaking barriers, and explore ways to empower women in various fields.",Empowerment Forum Certificates,2024-01-15 0:00:00,"['fields', 'pandemic', 'discussing', 'leadership',  'stories', 'use', 'conversations', 'hear', 'empowerment', 'AI', 'leverage', 'way', 'forum', 'barriers', 'inspiring',  'pave', 'ai', 'time', 'end', 'breaking', 'various', 'women', 'empower', 'immemorial', 'battling', 'explore', 'ways', 'injustice', 'technologies']","[(0, 0.9691805941910652)]"
E115,Fashion Entrepreneurship Seminar,RR Campus,Meraki,"A seminar exploring entrepreneurship in the fashion industry. Participants will hear from fashion entrepreneurs, learn about starting a fashion business, and gain insights into the business side of the fashion world.",Entrepreneurship Seminar Certificates,2024-01-15 0:00:00,"['entrepreneurship',  'fashion', 'starting', 'exploring', 'seminar', 'industry',  'business', 'hear', 'gain', 'world', 'insights', 'entrepreneurs']","[(2, 0.9250113433908168)]"
E122,Music Workshop: Songwriting Masterclass,RR Campus,Music Club of PES,"A songwriting masterclass providing insights into the art of composing music. Participants will learn about song structure, lyric writing, and the creative process of crafting musical pieces.",Songwriting Masterclass Workshop Certificates,2024-01-15 0:00:00,"['musical', 'art', 'composing', 'pieces',  'writing', 'providing', 'crafting', 'song', 'music', 'lyric', 'masterclass',  'songwriting', 'creative', 'insights', 'musicians', 'process', 'structure']","[(1, 0.33068106042185474), (23, 0.6188630332786749)]"
E129,Tabla Solo: Percussive Beats,RR Campus,Ninaada,A tabla solo performance showcasing the rhythmic beats and intricate patterns of the tabla. Participants will appreciate the percussive artistry and the expressive nature of tabla playing.,Percussive Beats Tabla Solo Tokens,2024-01-15 0:00:00,"['performance', 'patterns', 'percussive', 'nature', 'solo', 'tabla', 'appreciate', 'showcasing',  'dance', 'forum', 'music', 'artistry', 'playing', 'expressive', 'rhythmic', 'beats', 'intricate', 'indian']","[(37, 0.9479295449823171)]"
E139,Debate Showdown: Topic Roulette,RR Campus,PES DebSoc,"A lively debate event where participants face off on randomly selected topics. The event encourages quick thinking, adaptability, and the ability to construct arguments on the spot.",Debater Recognition Awards,2024-01-15 0:00:00,"['thinking', 'construct', 'adaptability', 'face', 'lively', 'teach', 'debating',  'spot', 'selected', 'ability', 'randomly', 'topics',  'arguments', 'debate', 'quick',  'parliamentary']","[(60, 0.941458876235495)]"
E149,Panel Discussion on Entrepreneurship Trends,RR Campus,PES Entrepreneurship Cell,"A panel discussion featuring industry experts discussing current trends, challenges, and opportunities in the field of entrepreneurship. Participants will gain insights into the evolving landscape.",Entrepreneurial Insights Certificates,2024-01-15 0:00:00,"['landscape', 'opportunities', 'current', 'experts', 'entrepreneurship',  'field', 'trends', 'featuring', 'industry', 'challenges', 'evolving', 'panel', 'discussion', 'gain', 'discussing', 'insights']","[(0, 0.20448429231321447), (1, 0.7459253586385749)]"
E159,Prototype Showcase Day,RR Campus,PES Innovation Lab,"A day dedicated to showcasing prototypes and projects developed by students. Participants can explore innovative solutions, interact with creators, and learn about the prototyping process.",Prototype Exhibition Certificates,2024-01-15 0:00:00,"['solutions', 'interact', 'showcasing', 'prototypes',  'explore', 'projects', 'developed',  'prototyping', 'students', 'process', 'research', 'dedicated', 'creators', 'innovative', 'problems', 'day']","[(0, 0.9456128618503545)]"
E169,Policy Analysis Workshop,RR Campus,PES MUN Society,"A workshop focusing on policy analysis and formulation. Participants will learn the process of policy creation, research methodologies, and the impact of policies on international relations.",Policy Analysis Tools,2024-01-15 0:00:00,"['law', 'research', 'international', 'world',  'formulation', 'academic', 'policy', 'speaking', 'focusing', 'analysis', 'workshop',  'policies', 'relations', 'creation', 'methodologies', 'impact', 'process', 'india', 'diplomacy']","[(11, 0.9512910315102332)]"
E179,Panel Discussion: Open Source Advocacy,RR Campus,PES Open Source,"A panel discussion on the importance of open source advocacy. Panelists will share their experiences, discuss the impact of open source in the tech community, and explore ways to promote open source principles.",Open Source Advocacy Panel Discussion Participation Tokens,2024-01-15 0:00:00,"['Open Source Projects', 'share', 'importance', 'projects', 'open', 'discussion', 'advocacy', 'experiences', 'technical', 'knowledge', 'promote', 'technology', 'panelists', 'discuss', 'community', 'source', 'impact', 'principles', 'explore', 'ways', 'panel']","[(1, 0.9617309464031653)]"
E194,Portrait Photography Session,RR Campus,Pixelloid,"A hands-on portrait photography session. Participants will have the opportunity to practice portrait photography, capturing the expressions and personalities of their subjects in a controlled setting.",Portrait Photography Achievement,2024-01-15 0:00:00,"['capturing', 'personalities',   'photo', 'practice', 'promos', 'movies', 'controlled', 'session', 'subjects', 'photography', 'setting', 'portrait', 'hands', 'expressions']","[(34, 0.9343488944959718)]"
